======================================================================================================================================================
**********         WAFER SUMMARY         **********
EQUIP_ID,TECH_ID,TEST_TYPE,PARD_ID,LOT_ID,WAFER_ID,LIMIT_FILE,TEST_START_TIME,TEST_FINISH_TIME,OPERATOR_ID,TOTAL_SITES,TOTAL_PARA,TOTAL_YIELD,WAFER_JUDGMENT,MES_STEP,TEST_PLAN,PC_ID,PCM_COUNT,CLEAN_COUNT,PRODUCT_ID,TEMPERATURE,LOT_START_TIME,LOT_END_TIME,RECIPE_ID
DESKTOP-KH72C30,TECH_ID,TEST_TYPE,BD,BD_7die_p2,1,LIMIT_FILE,2025-12-04 18:42:18,2025-12-04 19:28:04,wat,7,2223,TOTAL_YIELD,WAFER_JUDGMENT,MES_STEP,D:\jianxiongjiao_workspace\T20250909_01_BD55\ALG4\bd_7die_p.tple,BD,798,CLEAN_COUNT,BD,TEMPERATURE,2025-12-04 18:40:25,2025-12-04 19:28:04,bd_7die_p.tple,
======================================================================================================================================================
**********         WAFER RAW DATA         **********
MODULE,DEVICE,ITEM,OUTPUT,UNIT,SPEC._LOW,SPEC._HIGH,VALID_LOW,VALID_HIGH,AVERAGE,ST_DEVI,MAX,MIN,RANGE,Site_1_Value(-1 2),Site_2_Value(3 1),Site_3_Value(-3 1),Site_4_Value(-3 -1),Site_5_Value(2 -1),Site_6_Value(1 -2),Site_7_Value(-1 -2),
PCM031,Coffset_PLVT_9_0p054_153_Cgc_inv_Cgc_acc_Cgc0,Cgc0_PLVT_9_0p054_153_Coffset,Cgc0_PLVT_9_0p054_153_Coffset,,-1e+32,1e+32,-1e+32,1e+32,1.51436714285714e-12,2.51841030735471e-15,1.51856e-12,1.51073e-12,7.82999999999998e-15,1.51253e-12,1.51856e-12,1.51407e-12,1.51624e-12,1.51388e-12,1.51456e-12,1.51073e-12,
PCM031,Coffset_NHVT_9_0p054_153_Cgg_inv_Cgg0_Cgg_acc,Cgg_inv_NHVT_9_0p054_153_Coffset,Cgg_inv_NHVT_9_0p054_153_Coffset,,-1e+32,1e+32,-1e+32,1e+32,1.54594e-12,2.05777387808604e-15,1.5488e-12,1.54263e-12,6.16999999999996e-15,1.54394e-12,1.54263e-12,1.54688e-12,1.54645e-12,1.54588e-12,1.5488e-12,1.547e-12,
PCM031,Coffset_NHVT_9_0p054_153_Cgg_inv_Cgg0_Cgg_acc,Cgg_acc_NHVT_9_0p054_153_Coffset,Cgg_acc_NHVT_9_0p054_153_Coffset,,-1e+32,1e+32,-1e+32,1e+32,1.54623571428571e-12,2.01675363842372e-15,1.54972e-12,1.54339e-12,6.33000000000003e-15,1.54972e-12,1.54688e-12,1.54714e-12,1.54587e-12,1.54457e-12,1.54608e-12,1.54339e-12,
PCM031,Coffset_NHVT_9_0p054_153_Cgg_inv_Cgg0_Cgg_acc,Cgg0_NHVT_9_0p054_153_Coffset,Cgg0_NHVT_9_0p054_153_Coffset,,-1e+32,1e+32,-1e+32,1e+32,1.54662571428571e-12,2.29667046789371e-15,1.54956e-12,1.54254e-12,7.0199999999999e-15,1.54956e-12,1.54481e-12,1.54785e-12,1.5468e-12,1.54779e-12,1.54254e-12,1.54703e-12,
PCM031,Coffset_NHVT_9_0p054_153_Cgc_inv_Cgc_acc_Cgc0,Cgc_inv_NHVT_9_0p054_153_Coffset,Cgc_inv_NHVT_9_0p054_153_Coffset,,-1e+32,1e+32,-1e+32,1e+32,1.51200714285714e-12,1.57349625871514e-15,1.5144e-12,1.50993e-12,4.47000000000008e-15,1.51129e-12,1.5144e-12,1.50993e-12,1.51209e-12,1.51344e-12,1.51055e-12,1.51235e-12,
PCM031,Coffset_NHVT_9_0p054_153_Cgc_inv_Cgc_acc_Cgc0,Cgc_acc_NHVT_9_0p054_153_Coffset,Cgc_acc_NHVT_9_0p054_153_Coffset,,-1e+32,1e+32,-1e+32,1e+32,1.51169714285714e-12,1.20027377829273e-15,1.51317e-12,1.51024e-12,2.92999999999987e-15,1.51317e-12,1.51255e-12,1.51077e-12,1.51056e-12,1.51024e-12,1.51168e-12,1.51291e-12,
PCM031,Coffset_NHVT_9_0p054_153_Cgc_inv_Cgc_acc_Cgc0,Cgc0_NHVT_9_0p054_153_Coffset,Cgc0_NHVT_9_0p054_153_Coffset,,-1e+32,1e+32,-1e+32,1e+32,1.51080142857143e-12,1.90360560140862e-15,1.51359e-12,1.50863e-12,4.96000000000001e-15,1.51041e-12,1.5127e-12,1.50918e-12,1.50863e-12,1.51359e-12,1.51172e-12,1.50938e-12,
PCM031,Coffset_PHVT_9_0p054_153_Cgg_inv_Cgg0_Cgg_acc,Cgg_inv_PHVT_9_0p054_153_Coffset,Cgg_inv_PHVT_9_0p054_153_Coffset,,-1e+32,1e+32,-1e+32,1e+32,1.15433e-12,1.63247256230131e-15,1.15676e-12,1.15226e-12,4.50000000000003e-15,1.1544e-12,1.15408e-12,1.15619e-12,1.15676e-12,1.15226e-12,1.153e-12,1.15362e-12,
PCM031,Coffset_PHVT_9_0p054_153_Cgg_inv_Cgg0_Cgg_acc,Cgg_acc_PHVT_9_0p054_153_Coffset,Cgg_acc_PHVT_9_0p054_153_Coffset,,-1e+32,1e+32,-1e+32,1e+32,1.15384571428571e-12,9.23902179938576e-16,1.15538e-12,1.15259e-12,2.79000000000003e-15,1.15259e-12,1.15375e-12,1.15365e-12,1.15471e-12,1.15538e-12,1.15355e-12,1.15329e-12,
PCM031,Coffset_PHVT_9_0p054_153_Cgg_inv_Cgg0_Cgg_acc,Cgg0_PHVT_9_0p054_153_Coffset,Cgg0_PHVT_9_0p054_153_Coffset,,-1e+32,1e+32,-1e+32,1e+32,1.15461571428571e-12,1.26022295835373e-15,1.15605e-12,1.15235e-12,3.69999999999987e-15,1.1553e-12,1.15605e-12,1.15516e-12,1.15548e-12,1.15386e-12,1.15411e-12,1.15235e-12,
